	GEOID	StateName	CountyName	TractName	ALAND	AWATER	N_Adders	IRA_ec	Brownfield	IRA_LIC_C1	IRA_LIC_TL	HUD_Count	IRA_LIC_AS	IRA_CEJST	Com_npv_map	NPV_com_na	NPV_com_st	NPV_com_m	PB_com_na	PB_com_m	Res_npv_map	NPV_res_na	NPV_res_st	NPV_res_m	PB_res_na	PB_res_m	Total_Pop	P_Hispanic	P_nh_Black	P_nh_White	P_nh_Asian	P_nh_Native	P_nh_Other	Median_inc	P_Poverty	P_OwnerOcc	SVI	GOV1_count	GOV1_kW_ca	GOV1_kWh_p	GOV2_count	GOV2_kW_ca	GOV2_kWh_p	EDU1_count	EDU1_kW_ca	EDU1_kWh_p	EDU2_count	EDU2_kW_ca	EDU2_kWh_p
0	9110535200	 Connecticut	 Capitol Planning Region	Census Tract 5352	43206583	1355239	0	0	1	0	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	6664	10.8	3.66	77.76	5.81	0.09	1.88	134254	4.7	79.8	17.9	22	56	69487	1	325	399561	3	500	613776	0	0	0
1	9110881200	 Connecticut	 Capitol Planning Region	Census Tract 8812	2273066	28584	1	0	1	100	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	10590	5.1	3.83	68.82	17.69	0	4.56		66.3	26.3	27.5	21	1117	1370121	1	22	27851	4	1886	2313333	13	2437	2988773
2	9110530600	 Connecticut	 Capitol Planning Region	Census Tract 5306	16672149	772475	0	0	1	0	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	2535	4.14	0	92.94	0.55	0	2.37	130685	2.4	96.3	3.5	15	200	245709	0	0	0	0	0	0	0	0	0
3	9110881300	 Connecticut	 Capitol Planning Region	Census Tract 8813	23672163	171344	1	0	1	100	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	5739	7.02	4.48	70.73	15.26	0.12	2.39	48576	36.2	51.9	54.9	23	271	333323	1	37	45756	4	462	567038	0	0	0
4	9110538100	 Connecticut	 Capitol Planning Region	Census Tract 5381	1637915	0	0	0	1	0	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	1167	26.74	38.65	34.28	0	0	0.34					0	0	0	0	0	0	1	5	7321	0	0	0
5	9110860100	 Connecticut	 Capitol Planning Region	Census Tract 8601	55355052	1587988	0	0	1	0	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	5280	5.36	1.86	86.23	0	0	6.55	124311	6.2	85.7	19.2	39	1982	2431546	1	505	620055	4	948	1163436	0	0	0
6	9110538202	 Connecticut	 Capitol Planning Region	Census Tract 5382.02	33412147	87978	0	0	1	0	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	4019	4.95	0	82.06	0	0	12.99	99583	2.3	86.4	22.4	30	544	667382	1	15	19450	0	0	0	0	0	0
7	9110840100	 Connecticut	 Capitol Planning Region	Census Tract 8401	86230085	582494	0	0	1	0	0	1	0	0	Lower third	36	1	5097.789	71	16.383	Upper third	94	3	5605.424	11	10.25	5586	4.74	0.81	83.6	6.09	0	4.76	85893	13.5	64.8	36.6	20	454	557202	4	67	83039	3	663	813139	0	0	0
8	9110502800	 Connecticut	 Capitol Planning Region	Census Tract 5028	472294	0	1	0	1	100	0	2	100	100	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	3035	76.21	18.25	5.04	0	0	0.49	30873	35.4	2.5	99	13	557	683767	1	60	74749	0	0	0	0	0	0
9	9110502900	 Connecticut	 Capitol Planning Region	Census Tract 5029	802325	0	1	0	1	100	0	2	10	100	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2876	78.82	4.8	11.86	4.1	0	0.42	58705	21.4	12.6	88.7	3	372	457312	0	0	0	1	129	158475	0	0	0
10	9110502500	 Connecticut	 Capitol Planning Region	Census Tract 5025	5416253	343915	1	0	4	100	0	1	100	99.96	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	1828	69.2	13.24	14.82	1.59	0.16	0.98	30469	27.3	17.8	96.7	25	2331	2859388	0	0	0	6	1863	2285114	0	0	0
11	9110503000	 Connecticut	 Capitol Planning Region	Census Tract 5030	484878	0	1	0	1	100	0	4	90	87.75	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	2829	70.1	20.82	7.6	1.1	0	0.39	24891	37.2	10.2	99.7	21	2336	2865728	4	157	193489	4	572	701807	0	0	0
12	9110502600	 Connecticut	 Capitol Planning Region	Census Tract 5026	546761	0	1	0	1	100	0	1	100	100	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	3772	68.05	20.23	10.29	0.45	0	0.98	64625	18	30.7	86	0	0	0	0	0	0	1	165	202368	0	0	0
13	9110497300	 Connecticut	 Capitol Planning Region	Census Tract 4973	5311033	1328	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	5132	7.64	7.79	69.41	10.62	0	4.54	167353	1.2	85.6	34.3	3	981	1204091	0	0	0	3	536	658478	1	229	281765
14	9110497400	 Connecticut	 Capitol Planning Region	Census Tract 4974	4056597	6237	0	0	1	0	0	1	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	4078	7.23	3.43	83.47	4.46	0	1.4	208438	1.1	95.1	4.7	5	549	674421	0	0	0	8	1348	1653861	0	0	0
15	9110497500	 Connecticut	 Capitol Planning Region	Census Tract 4975	3828604	10090	0	0	1	0	0	3	0	0	Middle third	45	3	9661.516	63	15.317	Upper third	89	0	3823.465	11	10.327	3941	9.36	8.55	64.83	13.42	0	3.83	122656	3.5	69	44.5	26	799	980985	0	0	0	10	2745	3366639	0	0	0
