,GEOID,StateName,CountyName,TractName,ALAND,AWATER,N_Adders,IRA_ec,Brownfield,IRA_LIC_C1,IRA_LIC_TL,HUD_Count,IRA_LIC_AS,IRA_CEJST,Com_npv_map,NPV_com_na,NPV_com_st,NPV_com_m,PB_com_na,PB_com_m,Res_npv_map,NPV_res_na,NPV_res_st,NPV_res_m,PB_res_na,PB_res_m,Total_Pop,P_Hispanic,P_nh_Black,P_nh_White,P_nh_Asian,P_nh_Native,P_nh_Other,Median_inc,P_Poverty,P_OwnerOcc,SVI,GOV1_count,GOV1_kW_ca,GOV1_kWh_p,GOV2_count,GOV2_kW_ca,GOV2_kWh_p,EDU1_count,EDU1_kW_ca,EDU1_kWh_p,EDU2_count,EDU2_kW_ca,EDU2_kWh_p
403,9110416500, Connecticut, Capitol Planning Region,Census Tract 4165,3104118,0,1,0,1,100,0,2,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,4404,46.28,5.99,40.85,0.36,0,6.52,60914,12.1,62.9,86.7,8,0,1116,0,0,0,1,10,12374,0,0,0
404,9110462102, Connecticut, Capitol Planning Region,Census Tract 4621.02,11381844,307053,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,4411,4.44,1.97,73.82,17.77,0,2,"250,000+",3.3,92.9,0.7,33,38,47510,0,0,0,0,0,0,0,0,0
405,9140405500, Connecticut, Naugatuck Valley Planning Region,Census Tract 4055,8386618,84102,1,0,1,100,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,5449,21.49,1.52,69.1,1.65,0,6.24,81953,9.3,64.3,55.9,9,172,211541,0,0,0,2,0,0,0,0,0
406,9110464101, Connecticut, Capitol Planning Region,Census Tract 4641.01,52828108,50838,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,5495,3.35,0,92.68,0.45,0,3.51,148167,4.2,98.2,0.8,19,439,539272,0,0,0,5,591,724814,0,0,0
407,9110473502, Connecticut, Capitol Planning Region,Census Tract 4735.02,13941196,130592,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,3339,15.54,16.71,54.93,2.25,1.02,9.55,101108,8.7,88.1,34.7,8,969,1188933,0,0,0,5,408,500493,0,0,0
408,9110500100, Connecticut, Capitol Planning Region,Census Tract 5001,403498,0,1,0,1,100,0,1,100,100,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,3329,71.94,11.5,10.6,4.15,0,1.8,30900,37.2,17.7,95.5,7,83,102760,0,0,0,2,150,184107,0,0,0
409,9110501800, Connecticut, Capitol Planning Region,Census Tract 5018,512933,0,1,0,2,100,0,4,100,100,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,2635,48.01,48.96,1.4,1.63,0,0,25304,48.2,7.2,98.4,22,241,296187,0,0,0,0,0,0,0,0,0
410,9110510600, Connecticut, Capitol Planning Region,Census Tract 5106,7020639,283703,1,0,4,100,0,2,100,97.53,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,5060,32.57,41.19,20.28,4.03,0,1.94,41357,17.6,43.7,94.9,11,655,803365,0,0,0,6,426,522581,0,0,0
411,9110515102, Connecticut, Capitol Planning Region,Census Tract 5151.02,14425579,106416,1,0,1,100,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,5982,8.51,10.41,53.38,18.89,1.14,7.67,87955,13.8,54.8,56.3,47,1695,2079299,1,131,160989,3,2303,2825478,0,0,0
412,9160330100, Connecticut, Northwest Hills Planning Region,Census Tract 3301,85456173,3932194,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,1806,4.37,0.17,92.03,0,0,3.43,111429,3.3,90.7,5.2,1,0,0,0,0,0,2,314,386144,0,0,0
